,Gender,Age,Father_Occupation,Intermediate_College,Current_Attendance,Self_Study_Time,Living_with_Family_or_Bachelor,Supplements_in_recent result,No_of_Family_Members,Father_Status,Free_Time,Admission,Accommodation,Internet,Gadgets,GPA
0,Male,18,Teacher,Govt.,100.0,1.5h to 3h,Bachelor,0,5,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.3
1,Female,18,Teacher,Govt.,89.0,1.5h to 3h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",4.0
2,Male,18,Engineer,Govt.,87.0,5h to 8h,Bachelor,0,5,Alive,6h to 10h,Merit,Rented,Yes,"Mobile, Laptop",2.7
3,Male,18,Doctor,Private,71.0,3h to 5h,Bachelor,0,6,Alive,6h to 10h,Merit,Rented,Yes,"Mobile, Laptop",3.0
4,Male,20,Other,Govt.,82.0,5h to 8h,Family,0,6,Alive,6h to 10h,Merit,Owned,Yes,"Mobile, Laptop",3.0
5,Male,18,Businessman,Govt.,83.0,8h+,Bachelor,0,10,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop",4.0
6,Male,20,Engineer,Govt.,73.0,3h to 5h,Bachelor,0,7,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",4.0
7,Female,18,Other,Govt.,93.0,5h to 8h,Family,0,5,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop",4.0
8,Female,18,Other,Govt.,93.0,1h to 1.5h,Family,0,9,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",4.0
9,Male,19,Other,Private,88.0,1.5h to 3h,Bachelor,0,5,Alive,4h to 6h,Merit,Rented,Yes,Mobile,4.0
10,Male,21,Other,Private,84.0,1.5h to 3h,Bachelor,0,7,Alive,6h to 10h,Merit,Rented,Yes,"Mobile, Laptop",4.0
11,Male,19,Teacher,Govt.,84.0,3h to 5h,Family,0,5,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Computer",4.0
12,Male,18,Not Applicable,Govt.,84.0,1h to 1.5h,Family,0,3,Decease,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop, Computer",3.3
13,Male,18,Businessman,Private,87.0,5h to 8h,Family,0,6,Alive,6h to 10h,Merit,Owned,Yes,"Mobile, Laptop",2.7
