,Gender,Age,Father_Occupation,Intermediate_College,Current_Attendance,Self_Study_Time,Living_with_Family_or_Bachelor,Supplements_in_recent result,No_of_Family_Members,Father_Status,Free_Time,Admission,Accommodation,Internet,Gadgets,GPA
0,1,18,8,0,100.0,1,0,0,3,0,1,0,1,1,4,3.3
1,0,18,8,0,89.0,1,1,0,4,0,1,0,0,1,4,4.0
2,1,18,2,0,87.0,4,0,0,3,0,3,0,1,1,4,2.7
3,1,18,1,1,71.0,3,0,0,4,0,3,0,1,1,4,3.0
4,1,20,5,0,82.0,4,1,0,4,0,3,0,0,1,4,3.0
5,1,18,0,0,83.0,5,0,0,8,0,2,0,1,1,4,4.0
6,1,20,2,0,73.0,3,0,0,5,0,1,0,0,1,4,4.0
7,0,18,5,0,93.0,4,1,0,3,0,2,0,1,1,4,4.0
8,0,18,5,0,93.0,2,1,0,7,0,1,0,0,1,4,4.0
9,1,19,5,1,88.0,1,0,0,3,0,2,0,1,1,1,4.0
10,1,21,5,1,84.0,1,0,0,5,0,3,0,1,1,4,4.0
11,1,19,8,0,84.0,3,1,0,3,0,1,0,0,1,2,4.0
12,1,18,4,0,84.0,2,1,0,1,1,1,0,0,1,5,3.3
13,1,18,0,1,87.0,4,1,0,4,0,3,0,0,1,4,2.7
14,1,19,0,1,76.0,3,1,0,3,0,3,0,0,1,1,2.7
15,1,19,1,0,76.0,1,0,0,5,0,1,0,1,1,4,3.7
16,0,19,5,0,77.0,5,0,0,5,0,3,0,1,1,7,3.0
17,1,20,2,1,78.0,3,1,0,3,0,2,0,0,1,1,3.3
18,1,20,5,0,76.0,4,0,0,4,0,3,0,0,1,4,3.0
19,1,18,0,1,87.0,1,1,0,3,0,2,0,1,1,1,3.3
20,1,19,7,0,88.0,1,0,0,4,0,3,0,1,1,4,3.7
21,1,20,8,0,89.0,4,1,0,3,0,1,1,1,1,4,3.7
22,1,18,2,0,85.0,3,1,0,5,0,3,0,0,1,4,2.3
23,1,19,7,0,89.0,3,1,0,3,0,1,1,0,1,1,4.0
24,1,20,8,0,86.6,2,1,0,3,0,1,0,0,1,2,3.0
25,1,20,2,1,71.0,5,1,0,5,0,2,1,0,1,1,4.0
26,0,18,5,1,92.0,3,1,0,3,0,1,1,0,1,4,3.7
27,1,18,5,1,87.0,1,1,0,6,0,3,0,0,1,7,3.3
28,1,19,1,1,87.0,4,1,0,7,0,1,0,0,1,4,3.3
29,1,19,0,1,76.0,1,0,0,1,1,3,1,1,1,4,3.7
30,1,19,8,1,89.0,1,1,0,5,0,3,1,0,1,7,3.7
31,1,19,8,1,79.0,5,0,0,4,0,1,1,1,1,4,4.0
32,1,19,0,0,89.0,3,0,0,3,0,2,1,1,1,4,4.0
33,1,21,2,0,78.0,1,1,0,4,0,1,1,0,1,6,3.0
34,1,20,0,0,81.0,5,0,0,4,0,1,0,1,1,4,3.3
35,1,18,2,1,71.0,4,1,0,5,0,3,1,0,1,4,3.3
36,1,18,8,1,81.0,1,1,1,1,0,1,1,0,1,4,4.0
37,1,20,8,1,71.0,1,0,0,3,0,1,0,1,1,1,2.7
38,1,18,5,0,76.0,3,1,0,6,0,1,1,1,1,7,2.7
39,0,18,0,0,77.0,1,0,0,5,0,1,0,1,1,4,2.7
40,1,19,4,0,55.0,4,1,0,7,1,1,0,0,1,4,4.0
41,1,20,2,1,76.0,1,1,0,7,0,3,1,0,1,4,2.7
42,1,19,8,1,77.0,4,0,0,4,0,3,0,1,1,4,3.0
43,1,19,2,1,70.0,1,1,0,3,0,3,1,0,0,1,3.3
44,1,19,1,0,76.0,1,0,0,3,0,1,0,1,1,4,3.3
45,1,20,5,1,77.0,3,0,0,4,0,1,0,1,1,4,3.3
46,1,19,5,1,100.0,3,1,0,4,1,1,0,1,1,4,2.7
47,1,18,0,0,85.0,3,0,0,4,0,1,0,1,1,1,3.3
48,0,18,8,0,84.0,2,1,0,4,0,1,0,0,1,5,3.74
49,1,20,9,0,83.0,3,1,0,2,0,1,0,0,1,4,3.81
50,1,21,0,0,76.0,1,1,0,4,0,1,0,0,1,4,3.77
51,1,20,4,0,72.0,2,1,0,4,0,1,0,0,1,4,2.73
52,1,19,2,0,77.0,1,1,0,2,0,1,0,0,1,4,3.11
53,1,20,6,0,80.0,1,1,0,2,1,1,0,1,1,4,3.41
54,1,19,8,0,65.0,3,0,0,10,0,1,0,1,1,4,3.32
55,1,20,0,1,75.0,1,0,0,6,0,1,0,1,1,2,2.51
56,1,19,5,0,76.0,2,0,0,2,0,1,0,1,1,4,2.71
57,0,20,0,0,84.0,3,1,0,3,0,1,0,0,1,5,3.74
58,0,20,0,0,80.0,3,1,0,4,0,2,0,0,1,4,3.31
59,1,18,7,0,83.0,1,1,1,2,0,1,0,0,1,4,3.32
60,1,19,5,1,88.0,1,0,0,3,0,1,0,1,1,4,3.18
61,1,20,4,0,70.0,1,1,0,1,0,1,0,0,1,5,3.64
62,1,17,7,0,78.0,5,1,0,4,0,1,0,1,1,6,2.9
63,1,19,8,1,80.0,3,1,1,4,0,3,0,1,1,4,2.97
64,1,21,5,1,83.0,2,1,0,3,0,2,0,0,1,4,2.97
65,0,19,6,0,85.0,2,1,0,4,0,1,0,0,0,1,3.74
66,1,19,2,1,80.0,1,1,0,4,0,1,0,0,1,4,3.46
67,1,19,0,0,73.0,3,1,0,3,0,1,0,1,1,5,3.79
68,0,20,0,1,78.0,3,0,0,4,0,1,0,1,1,4,3.76
69,0,19,4,0,80.0,5,1,0,0,1,1,0,0,1,4,3.78
70,1,18,3,1,80.0,1,0,0,6,0,1,0,1,1,7,3.43
71,1,20,5,1,86.0,2,0,0,4,0,1,0,1,1,4,2.79
72,1,22,1,1,83.0,2,1,0,3,0,1,1,0,1,7,3.27
